Anul,Titlu
1937,ONTPLOFFING TE MORENI
1930,Petroleum-brand.
1928,STEAUA ROMANA. Productie bron 33 Moreni.
1927,Petroleumbrand in Roemenië.
1928,ASTRA-ROMANA. Productie.
1932,ROEMENIE Petroleumbrand.
1925,Uit de Roemeensche petroleumindustrie.
1927,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Steaua Romana.
1926,ASTRA ROMANA. Brandende bronnen.
1928,STEAUA ROMANA. Nieuwe sonde.
1928,ASTRA ROMANA. Brand gebluscht.
1928,STEAUA ROMANA. Productie.
1913,Uit do Petroleum-industrie.
1929,Machteloos! De brandende petroleum van Moreni.
1911,Petroleumproductie.
1914,Astra Romana.
1914,Uit de Petroleum-industrie.
1924,Uit de Roemeensche Petroleum* industrie.
1911,Uit de petroieum-industrie.
1929,De brandende bron. Sinds drie maanden raast het vunr in de petroleum. Wanhopige toestand der omwonenden
1914,Uit de Petroleumsndustrie.
1913,Uit de Petroleum-Industrie.
1914,Uit de Petroleumindustrie.
1914,Uit de Petroleumindustrie.
1914,Uit de Petroleumindustrie.
1913,Petroleum.
1913,Uit de Petroleumindustrie.
1915,Uit de Petroleum-Industrie.
1915,Uit de Petroleum-industrie.
1925,DE KLEINE LEIDSCHE LUCHTREIZIGER. - DE SCHOUWBURG TE HEERLEN - GROOTF PETROLEUMBRAND
1913,"Petroleum Mij. „Orion""."
1927,Petroleumbronnen in brand.
1928,"Een foto vaneen geweldigen brand, welke in de olievelden van Moreni (Roemenië) heeft gewoed. Rechts op den voor-"
1937,Explosie in Petroleum-Pompstation 3 DOODEN EN 10 GEWONDEN
1925,DE PETROLEUMBRAND IN ROEMENIë.
1928,"Een foto van een geweldigen brand, welke in de olievelden van Moreni (Roemenië) heeft gewoed. Rechts op den voor"
1929,DE BRAND IN DE OLIEVELDEN VAN MORENI
1929,DE BRAND IN DE OLIEVELDEN VAN MORENI
1914,Uit de Petroleumindustrie.
1925,DE KLEINE LEIDSCHE LUCHTREIZIGER. – DE SCHOUWBURG TE HEERLEN – GROOTE PETROLEUMBRAND
1927,PETROLEUMBRONNEN IN BRAND. 17 DOODEN.
1906,De Koninklijke en de Rumeensche Potroleum-Industrie.
1916,Aitra Romana.
1931,nieuwe petroleumbrand bij morene
1930,Uit de petroleumwereld.
1937,Als de aarde brandt.
1926,ASTRA ROMANA. Bron no. 104 te Moreni aangeboord.
1926,CRÉDIT MINIER. Bron no. 24 te Moreni aangeboord.
1929,"STOOMKETEL ONTPLOFT, 10 DOODEN"
1925,VAN DE 3.OCTOBER. VIERING TE LEIDEN – DE SCHOUWBURG TE HEERLEN – GROOTE PETROLEUMBRAND
1925,VAN DE 3-OCTOBER. VIERING TE LEIDEN -DE SCHOUWBURG TE HEERLEN – GROOTE PETROLEUMBRAND
1930,Petroleum-industrie.
1930,Petroleumlndustrie.
1931,Petroleum-industrie.
1930,Petroleum-industrie
1930,Petroleum-industrle
1931,Petroleum-industrie.
1931,Petroleum-industrle
1925,DE KLEINE LEIDSCHE LUCHTREIZIGER. – DE SCHOUWBURG TE HEERLEN – GROOTE PETROLEUMRRAND
1930,ASTRA ROMANA. Bron in productie gebracht.
1916,De brand op de Moreni-Bana olievelden.
1926,DE ROEMEENSCHE PETROLEUMINDUSTRIE.
1928,BUITENLAND. ASTRA ROMANA Bron no. 300 Moreni in productie.
1920,Astra Romana.
1925,Steaua Romana.
1928,STEAUA ROMANA. Petroleum aangeboord.
1914,Uit de Petroleumindustrie.
