Anul,Titlu
1924,UIT DE ROEMEENSCHE PETROLEUMNIJVERHEID. Toenemende productie.
1928,Advertentie
1916,"Steaua Romana. Petroleum Mij. „Astra Romana""."
1881,Advertentie
1929,De geweldige petroleumbrand in Morend
1929,Enorme petroleumbranden in Roemenië. Schade van meer dan 50 millioen lei.
1929,ROEMENIË. DE PETROLEUMBRAND NEEMT STEEDS TOE. Van vulkanischen oorsprong?
1930,ROEMENIË. GROOTE BRAND OP EEN PETROLEUMVELD. Een groote vlammenzee.
1929,Petroleum-lndustrie.
1925,VLIEGTUIG GELAND.
1926,De Roemensche petroleum-industrie.
1964,Wegen gekruist
1926,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE.
1930,ROEMENIË. DE PETROLEUMBRAND TE MORENI. Uitbreiding.
1929,ROEMEENSCHE PETROLEUM-NIJVERHEID. Nieuwe bronnen aangeboord. Hoogere prijzen.
1921,Astra Romana.
1929,ROEMENIË DE PETROLEUMBRAND.
1929,DE FILM „NED.-INDIË” IN ROEMENIË.
1912,Petroleumbrand.
1912,Nagekomen Berichten.
1929,De Indië-Film in Roemenië.
1989,VOETBAL
1906,FINANCIEELE BERICHTEN.
1975,"Talentenshow ""Glück Auf"" naar Hoensbroek"
1927,Advertentie
1913,Petroleum-mpij. Astra Romana.
1913,"Petroleum, Mij. Astra. Romana."
1913,Petroleum Mij. Astra Romana.
1929,De petroleumbrand in Moreni.
1921,Laatste Berichten. Uit de Roemeensche petroleumindustrie.
1927,Belangrijkste Nieuws.
1920,Uit da Roemeensclie petroleurrundustrte.
1926,ROEMEENSCHE PETROLEUM NIJVERHEID. Aanboring van rijke bronnen. — De invloed der koersstijging van de lei op het prijsverloop.
1926,De Roemensche petroleum industrie.
1929,DE PETROLEUMBRAND IN ROEMENIE. Nadere bijzonderheden.
1934,EXAMENS
1929,BRANDENDE BOORPUTTEN Torenhooge vlammen
1913,Telegrammen
1913,LETTEREN EN KUNST.
1929,PETROLEUMBRAND IN ROEMENIE.
1933,Boven links: koning Carol van Roemenië. Daarnaast: een kijkje op de boortorens
1913,Industrie
1930,Kleine Buitenlandsche Berichten.
1929,Onbluschbare petroleumbrand.
1928,SCHEEPSONGEVAL OP DEN RIJN.
1911,Petroleum-industrie.
1912,Petro1eum-Mij. „Orion”.
1911,Financieel en Economisch Nieuws
1913,Uit de Petroleum-industrie.
1929,Buitenland.
1929,BRANDENDE PETROLEUMBRONNEN TE MORENI.
1912,Amerik. Granen.
1926,"ROEMEENSCHE PETROLEUM-NIJVERHEID. Oprichting eener exploratie-mant. schappij door den Staat en de parti. cullere ondernemingen te verwachten, Grootere productie. — Booractiviteil Astra Romane en Steana Romana."
1929,FINANCIEEL NIEUWS GECONSOLIDEERDE HOLLANDSCHE PETROLEUM COMPAGNIE Saldo verlies £ 18.191.—
1930,ROEMEENSCHE PETROLEUMINDUSTRIE. Verdere daling der exportprijzen. — Brand op het Moreni-terrein nog niet gestuit.
1916,Uit de Petroleumindustrie.
1916,Uit de pctroleumindustrie.
1914,Uit de Potroleum-industrie.
1916,Uit de petroleumindustrie.
1936,"De politiek van Tatarescu Versterking van de Balkan-entente staat voorop In Roemenië woedt de strijd der nationaliteiten, waaronder de geheele Balkan gebukt gaat, wel het felst"
1929,ROEMEENSCHE PETROLEUMINDUSTRIE.
1938,Advertentie
1911,Uit de Petroieumindustrie.
2000,Groen Voor Kroon
2004,Julia mag juichen in de Vuelta
1932,Het einde van een sensatie
1929,Buitenland.
1911,Petro'eum.
1930,ROEMEENSCHE PETROLEUMINDUSTRIE. Verdere daling der exportprijzen. — Brand op het Moreni-terrein nog niet gestuit.
1923,FINANCIËN EN HANDEL. De Roemeensche petroleraindustric.
1914,Uit de Petroleum-industrie.
1937,Advertentie
1909,Financieel en Economisch Nieuws
1929,ROEMENIE De petroleumbrand te Moreni.
1929,ROEMENIE De pertroleumbrand te Moreni.
1929,De Donaulanden.
1929,Familiebericht
1928,Gemengd Nieuws.
1917,Pétroles roumains
1931,"Brieven uit het Buitenland, Het eeuwige vuur van Moreni."
1930,BUITENLAND. De Oliebron van Moreni Een jaar geleden brak er Brand uit en nog laait het vuur op.
1930,Het eeuwige vuur van Moreni RUMMEENSCHE PETROLEUMBRONNEN REEDS EEN JAAR IN BRAND. Brandstof uit het inwendige der aarde (Vaneen bijzonderen medewerker).
1930,BRIEVEN UIT HET BUITENLAND Roemeensche Brief.
1914,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.
1912,De brandende Petroleum-bron.
1930,ROEMEENSCHE BRIEF. Het eeuwige vuur van Moreni. — De oliebronnen van Roemenië reeds een jaar in brand.
1930,Brieven uit het buitenland
1931,GEMENGD NIEUWS De petroleumfakkel van Moreni.
1930,BRANDENDE OLIEBRONNEN. De eeuwige vuren van Moreni. EEN HOPELOOZE STRIJD TEGEN DE NATUURKRACHTEN.
1930,"De Oliebron van Moreni Een jaar geleden brak er Brand uit en nog laait het vuur op. STRIJD VAN MENSCHELIJK GENIE TEGEN DE VERZENGENDE VLAMMEN. Boekarest, September 1930"
1930,ROEMEENSCHE BRIEF.
1915,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.
1915,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.
1930,„ELCK WAT WILS”. DE ONGELUKSSONDE VAN MORENI.
1928,MENSCHELIJK VERNUFT TEGEN NATUURKRACHTEN.
1909,Financieel en Economisch Nieuws
1928,OOK PETROLEUM WORDT DIKWIJLS DUUR BETAALD.
1928,PETROLEUM WINNEN OP MAKKELIJKE EN LASTIGE TERREINEN.
1916,FINANCIEELE BERICHTEN.
1930,ROEMEENSCHE BRIEF
1930,"HET EEUWIGE VUUR VAN MORENI Roemenië’s brandende oliebronnen Meer dan een jaar reeds schiet een vuurzuil op uit den bodem, die niet te blusschen is"
1912,Uit de petroleum-industrie.
1930,Een eeuwig vuur in Moreni? DE OLIEBRONNEN VAN ROEMENIE. REEDS EEN JAAR IN BRAND.
1911,WALLSTREETNIEUWS.
1898,Advertentie
1910,FAMILIEBERICHTEN.
1913,Dansonderwijzers-Sociëteit
1928,Een dappere Rotterdammer omgekomen.
1989,UEFA-BEKER
1916,Buitenlandsche Havens.
1930,"DE ROEMEENSCHE PETROLEUMINDUSTRIE, De productie in 1929 en de verdeeling daarvan over staat en particulieren."
1925,Petroleum-Industrie.
1924,Uit de Roemeensche petroleum-industrie.
1924,Uit de Roemesnsche petroleuminriustrie.
1989,UEFA Cup
1932,Hoe de dieven binnengekomen moeten zijn.
1924,WIELRIJDEN.
1935,Advertentie
1915,Financieel en Economisch Economisch Nieuws.
1913,Financieel en Economisch Nieuws
1906,Beurs van New-York.
1929,DE BALKAN.
1929,DE BALKAN.
1912,TELEGRAMMEN.
1920,Uit de Roemeensche petroleumindustrie.
1927,STEAUA ROMANA. Het boorprogramma. — De productiestijging in 1027 op 500.000 ton geraamd.
1920,De Roemeensche petroleum-industrie.
1929,Nederland in den Vreemde.
1986,Advertentie
1929,BUITENLAND.
1930,Vorming van een krater.
1931,Petroleum-industrie.
1931,Roemenië.
1931,Petroleum-industrie
1932,petroleum-industrie.
1925,Petroleumindustrie.
1931,Petroleum-industrie.
1926,Petrolenmlndustrie.
1927,De petroleumiudustrie.
1925,Petroleumlndustrle.
1925,Petroleumlndustrie.
1932,Petroleum-industrie.
1930,Petroleum-industrie.
1930,Petroleum-industrie.
1929,De geweldige petroleumbrand in Moreni. ER BESTAAT GEVAAR DAT EEN  TWEEDE BOORPUT IN BRAND  RAAKT.
1929,Petroleum-industrie.
1925,PERSONALIA.
1984,Spelen met stof
1986,IJsboer
1986,Ijsboer
1989,UEFA CUP
1989,UEFA CUP
1916,Ontvangsten en Productiecijfers. Petroleum Mpij. Astra Romana.
1916,De brand te Bana Moreni.
1905,Rumeensche petroleum-productie.
1911,Petroleum.
1912,Petroleum.
1931,Nieuws in een paar regels.
1989,UEFA-cup
1916,NAGEKOMEN SCHEPEN.
1916,Stenua Romana.
1912,BEURS EN NIJVERHEID. Londensche Beurs.
1905,Advertentie
1920,Uit de Roemeensche petroleummdustrie.
1989,Uefa-beker (EC III)
1929,ROEMEENSCHE PETROLEUM NIJVERHEID. Trage voortgang der besprekingen i.z. overeenkomst raffinadeurs. Prijzen in het binnenland onveranderd overigens gedaald. — Nieuwe bronnen aangeboord.
1931,Petroleum-industrie.
1928,SERVICE PETROLEUM CY. Mededeelingen in de vergadering over de gunstige ontwikkeling der Romano- Africana.
1925,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE.
1931,Opnieuw in brand geraakt
1930,ROEMENIË.
1987,Amstel Tijgers nog ongeslagen
1986,Toonaangevend
1949,Advertentie
1915,Petroleum Mij. „Orion”.
1915,Steana Romana.
1914,Uit de Petroleumindustrie.
1911,Uit de Petroleumindustrie.
1910,Uit de Rumeensche Petroleumindustrie.
1924,Familieberichten uit andere dagbladen.
1923,Familieberichten uit andere dagbladen.
1930,Familiebericht
1926,Familiebericht
1915,Familiebericht
1930,PRODUCTIECIJFERS. STEAUA EN ASTRA.
1929,DE BALKAN. DE PETROLEUMERAND IN ROEMENIë
1931,VOORNAAMSTE NIEUWS.
1913,KUNST.
2004,Winnaar 13 de etappe
1914,GEMENGD NIEUWS.
1930,Onze speciale dienst
1930,Advertentie
1929,HET BELANGRIJKSTE NIEUWS BUITENLAND.
1923,FAMILIEBERICHTEN.
1928,BUITENLAND. Hevige petroleumbrand.
1929,HET BELANGRIJKSTE NIEUWS BUITENLAND.
1920,FAMILIEBERICHTEN.
1925,FINANCIEELE BERICHTEN. De petroleum brand in Roemenië.
1924,FAMILIEBERICHTEN.
2005,Uitslagen
2005,Uitslagen
1989,EUROPA CUP 3
2003,Telekom slankt af
2000,Wielrennen
2004,Uitslagen
2004,Uitslag
1998,Wielrennen
1999,Wielrennen
1999,Wielrennen
1999,Wielrennen
1989,Uefa Cup
1929,Korte Kroniek.
1925,Korte Kroniek.
1940,ROEMEENSCHE PETROLEUMNIJVERHEID Productie bijna onveranderd. Hoogere uitvoerprijzen.
1989,UEFA CUP
1988,VOETBAL
1988,VOETBAL
1989,VOETBAL
1987,SPORTUITSLAGEN VOETBAL
1989,VOETBAL
1989,UEFA-CUP
1987,SPORTUITSLAGEN VOETBAL
1987,SPORTUITSLAGEN VOETBAL
1986,VOETBAL
1929,TELEGRAMMEN.
1929,VAN HIER EN DAAR. De petroleumbrand in Roemenië.
1917,OVERIGE PROVINCIËN. Schoolgeldkwitanties vrij van zegel.
1924,Familiebericht
1930,Ernstige Ontploffing.
1929,IN ENKELE REGELS
1930,Wat niet iedereen weet.
1933,STAAT VAN BELEG IN ROEMENIË? WEGENS ARBEIDSONRUSTEN IN HET PETROLEUMGEBIED.
1927,CRÉDIT MINIER. Productie over 1926 591.707 ton. – Dividend 50 % (onv.).
1927,Familieberichten.
1915,Nieuwe kapitaalsuitgiften.
1912,FINANCIEELE BERICHTEN. Brand in de Nederlandsch-Reemeensche Petroleumtoronnen.
1916,Petroleum Mpij. Astra Romana.
1890,Advertentie
1931,Roemenië.
1883,Advertentie
1989,UEFA Cup
1989,UEFA Cup
1924,Wedstrijden te Parijs.
1816,Advertentie
1929,DE BALKAN. DE PETROLEUMBRAND IN MERENI. Het vuur woedt voort — Zware aardschokken.
1916,Roomeensche petroleumvelden.
1916,De Roemeensche petroleumbrommen.
1929,Familiebericht
1939,Roemeensche petroleum.
1929,DE PETROLEUMBRAND TE MORENI.
1910,Uit de Petroleum-industrie.
1929,Belangrijkste Nieuws.
1927,ROEMEENSCHE PETROLEUMNIJHVERHEID. Productie in Mei een record. Hoogere prijzen en betere vraag.
1923,Familiebericht
1923,Phcenix Oil en Transport Co.
1926,BUITENLAND. UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Vaste prijzen voor ruwe petroleum. Levendige export.
1934,Familiebericht
1914,De bandieten van Pégemas Voor.
1923,Uit de Roemeensche Petroleum-industrie.
1923,Uit de Roemeensche petroleumindustrie.
1912,Brand in Rumeensche Petroleumbronnen.
1921,Uit de Roemeensche Petroleumindustrie.
1928,ASTRA ROMANA. — STEAUA ROMANA. Nieuwe sondes.
1928,"UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Dagelijksche productie 12.000 ton. Prijzen stationair, voor export algemeen lager."
1920,Uit de Roemeensche Petroleumindustrie.
1929,Geweldige pelroteumbrand in Roemenië. De blussching in geen 20 dagen verwacht.
1921,Uit de Roemeensche Petroleumindustrie.
1929,Belangrijkste Nieuws.
1931,Als een oliebron brandt. METHODEN OM DEN BRAND TE BLUSSCHEN.
1925,VERVOLG BUITENLAND.
1918,Familiebericht
1931,VOORNAAMSTE NIEUWS
1930,Gemengde Buitenlandsche Berichten
1931,Roemenie.
1926,De Roemeensche Petroleum-Nijverheid.
1930,VAN HIER EN DAAR.
1913,Uit de Petroleumindustrie.
1916,De verovering van Rumenië.
1974,Talentenshow „Gliick Auf”
1975,Finale talentenshow ’Glück Auf’
1790,Advertentie
1931,ROEMENIË. BRANDENDE OLIEBRONNEN. Drie boortorens in lichter laaie.
1911,Uit de Petroleumlndustrie.
1931,Als een Oliebron brandt. Verschillende Manieren om den Brand te blusschen.
1958,Advertentie
1927,VAN HIER EN DAAR.
1915,"De „Astra Romana""."
1935,ROEMEENSCHE PETROLEUMINDUSTRIE.
1929,ROEMENIË VIJF MAANDEN PETROLEUMBRAND De toestand steeds erger
1914,Petroleum.
1927,Is de gearresteerde tolk een Albaneesch  onderdaan ?
1940,Raadsels
1926,ASTRA ROMANA. Bereiding van olie uit gassen. — Brandschade bron No. 163 en 164 gering.
1925,Uit de Petroleum-Industrie.
1925,Uit de Roemeensche petroleumindustrie.
1926,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Nieuwe sondes Astra Romana. — Export 100.000 t. per maand.
1926,ROEMENIË.
1920,Uit de Roemeensche petroleumindustrie.
1926,Roemeensche petroleum maatschappijen.
1916,De toestand der petroleumbronnen.
1903,Stoomvaartberichten.
1919,Familiebericht
1929,NEDERLANDSCHE PROPAGANDA IN ROEMENIË.
1928,EEN NEDERLANDER OMGEKOMEN.
1917,DE DUIKBOOTENFURIE.
1913,Telegrammen
1918,Familiebericht
1920,Familiebericht
1917,FRENCH MARITIME LOSSES.
1913,L’exportation de pétrole roumain
1914,FINANCIEELE BERICHTEN.
1916,Uit de petroleumindustrie.
1931,"De Petroleumbrand in Morem Een brand welke twee en een half jaar duurde, vele menschenlevens eischte en taltooze verwoestingen aanrichtte, doch thans plotseling is geëindigd."
1931,De in Mor@ni
1929,FRANKRIJK.
1925,ASTRA ROMANA.
1915,Uit de Petroleum-industrie.
1913,Uit de Petroleum Industrie.
1914,Uit de Petroleumlndustrie.
1931,BUITENLAND. ROEMEENSCHE PETROLEUM.
1929,Gemengde Berichten. GROOTE BRAND.
1914,FINANCIEELE MEDEDEELINGEN. PETROLEUM.
1936,De politiek van Tatarescu.
1936,De politiek van Tatarescu. Versterking van de Balkan-entente staat voorop.
1936,De politiek van Tatarescu Versterking van de Balkan-entente voorop In Roemenië woedt de strijd der nationaliteiten het felst
1929,VERSPREIDE BERICHTEN. Lord Lloyd.
1929,De Noord-Ooster van Zaterdag 10 Aug. 1929. no. 94 Vierde Blad. Buitenland. Stakingsonlusten in Zevenburgen.
1930,Hoog water. LANGS DEN RIJN.
1912,Uit de Petroleunt-industrie.
1915,Financiën en Handel. Uit de Petroleum-industrie.
1909,Financieel en Economisch Nieuws
1913,Financieel en Economisch Nieuws.
1913,Orion.
1925,GEMENGD NIEUWS
1930,HIER EN DAAR ’N GREEP
1914,FINANCIEELE MEDEDEELINGEN. WISSELKOERSEN TE AMSTERDAM.
1912,Petroleum.
1930,KLEINE BERICHTEN.
1914,FINANCIEELE BERICHTEN.
1915,FINANCIEELE BERICHTEN.
1915,Petroleum.
1913,Uit de petroleumlndustrio.
1913,Uit de Petroleumindustrie.
1916,Uit de petroleumindustrie.
1926,"GEC. HOLL. PETROLEUM Cie. Winst ƒ164.832 (ƒ185.499), dividend 2% (onv.)."
1912,Uit de petroleum-Industrie.
1916,Uit de petroleumindustrie.
1930,VAN HIER EN DAAR.
1914,"Petroleum-Mij. „Orion""."
1928,GEMENGD NIEUWS BINNENLAND.
1931,Petroleum-industrie.
1912,Uit de petroleum-industrie.
1916,Productiecijfers.
1916,"Productiecijfers,"
1930,JAARVERSLAGEN. GECONSOLIDEERDE HOLLANDSCHE PETROLEUM COMPAGNIE.
1915,Uit de petroleum-ïndustrie.
1912,Uit de Petroleum-Industrie.
1912,Uit de Petroleum-Industrie.
1914,Uit de Petroleum-industrie.
1913,Uit de Petroleum-industrie.
1974,Ondankbaar
1929,GROOTE BRANDEN. Te Schwichtenberg brandstichting in het spel.
1927,FINANCIEELE BERICHTEN. DE ROEMEENSCHE PETROLEUMINDUSTRIE.
1929,BUITENLAND. ROEMEENSCHE PETROLEUMINDUSTRIE.
1990,VOETBAL
1909,"BEURS EN NIJVERHEID. De Hollanders en de „Ragatul Roman""."
1929,BUITENLAND.
1987,BUITENLANDS VOETBAL
1930,Gemengd Nieuws De vrouw moet den man gehoorzamen.... Nelson Morris wint zijn proces.
1912,Telegrammen.
1929,Gemengd Nieuws Een Russisch diplomaat opgesloten Een Incident te Parijs
1929,Gemengd Nieuws.
1930,Gemengd Nieuws LEVENSLANG GEëISCHT.
1930,JAARVERSLAGEN. GECONSOLIDEERDE HOLLANDSCHE PETROLEUM COMPAGNIE.
1911,Uit da petroleumindustrie.
1912,Petroleum-industrie.
1924,De Roemeensche Petroleumindustrie.
1914,Uit de Petroleumindustrie.
1912,Uit de Petroleumindustrie.
1937,Advertentie
1935,Advertentie
1916,VERSPREIDE BERICHTEN
1916,VERSPREIDE BERICHTEN
1911,Uit de petroleumindustrie.
1911,Financieel en Econoinisci Nieuws Uit de petroleumindustrie.
1940,Buitenlandsche maatschappijen.
1913,Uit de Petroleum-Industrle.
1913,Uit de Petroleum industrie
1930,Een petroleumbrand van 14 maanden. Het „eeuwige vuur” van Sonde 160.
1913,Uit de Petroleumindustrie.
1928,"BEURS EN NIJVERHEID. Nederland en Koloniën. SEC. HOLL. PETROLEUM COMP. Berlngere productie der Astra Romana. — Winst ƒ 407.901 (ƒ 495.913), dividend 2 % (2½ %)."
1930,VAN ANDERE LANDEN
1913,Inforraations financières
1913,FINANCIEELE MEDEDEELINGEN. FAILLISSEMENTEN.
1915,"FINANCIEELE MEDEDEELINGEN. (R.O.) LONDEN, 19 Februari, 3.20 nam. SLOTKOERSEN."
1916,FINANCIEELE BERICHTEN.
1911,FINANCIEELE MEDEDEELINGEN. MAATSCHAPPIJ VAN ASSURANTIëN.
1915,FINANCIEELE MEDEDEELINEEN. SPOOR- EN TRAMWEGONTVANGSTEN.
1913,FINANCIEELE MEDEDEELINGEN. FAILLISSEMENTEN.
1912,FINANCIEELE MEDEDEELINGEN. SPOOR- EN TRAMWEGONTVANGSTEN.
1926,Mijnbouw Maatschappij Redjang- Lebong.
1915,AMERICA AND WAR.
1916,BALKANSTATEN.
1894,Advertentie
1905,Advertentie
1912,Een 60 meter hooge vuurzuil.
1914,Mexico.
1965,Rentree
1919,Uit de Roemeensche petroleumindustrie.
1922,Uit de Roemeensche petroleumindustrie.
1929,Buitenland
1929,FRANKRIJK.
1929,KORTE BERICHTEN
1934,GEEST EN STOF
1929,STERVENDE GEVONDEN TE VENLO.
1912,Financieel en Economisch Nieuws
1913,"Financieel Nieuws NIET-OFFICIEEL GENOT, FONDSEN"
1911,Financieel en Economisch Nieuws Uit de petroleumindustrie
1912,Telegrammen.
1930,Examens. Technische Hoogeschool.
1926,ROEMEENSCHE PETROLEUMNIJVERHEID. Nieuwe bronnen der Concordia en Phoenix. – Toenemend aantal boringen Steaua Romana.
1931,Welke rol speelde Faisant?
1935,ROEMEENSCHE PETROLEUMINDUSTRIE Stijgende prijzen.
1933,"SPORT. Valentijn veertiende in tweede etappe ronde van Zwitserland. Aerts, Trueba en Macchi geven op. MAX BULLA HEEFT DE LEIDING."
1913,LATERE BERICHTEN.
1930,"Het Bonte Blad Het eeuwige vuur in Moreni, Roemenië's nationale ramp. Petroleumbrand, niet meer te stuiten. Het boorgat thans een krater."
1931,Petroleum-industrie.
1931,Petroleum-industrie.
1931,FINANCIEEL NIEUWS Petroleum-industrie.
1927,Petroleum industrie.
1930,Petroleum-induatrie
1926,Familiebericht
1931,5 OCTOBER 1931
1912,Uit de Petroleum-industrie.
1914,Petroleum-Mij. „Astra Romana”.
1906,Rumeensche petroleum-industrie.
1907,De onlusten in Rumenië en de petroleum-maatschappijen.
1931,Draadlooze. en Telegraphische Berichten.
1989,DEELNEMERS
1914,Uit de Potroleum-Industrio.
1925,ROEMENIË
1925,"Dagelijksch Beursbericht. Amsterdam, 30 Juli. (2.45 u.)"
1925,Dagelijksch Beursbericht.
1915,Uit de Petroleum-Industrie.
1913,De brand in Rumeensche petroleum-bronnen.
1914,Uit de Petroleumindustrie.
1932,Hoe de dieven binnengekomen moeten zijn.
1928,BUITENLAND. UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Regeeringssteun. — Dagelijksche productie 1000 wagons. — De nieuwe sonde der Astra Romana. -Verminderde export.
1912,Uit de Petroleumindustrie.
1928,SERVICE PETROLEUM CY. Het dividend op de balans toegevoegd aan de reserve. Hierdoor verlies saldo van £ 22.873.
1929,Familiebericht
1910,Familiebericht
1913,Brand in de Roemeensohe petroleumbronnen.
1914,Petroleum.
1933,ROEMEENSCHE PETROLEUMINDUSTRIE.
1916,De Roemeensche petroleumvelden.
1929,Korte Mededeelingen.
1914,Uit de Petroleum-industrie.
1910,Astra.
1911,GEMEENTE en PROVINCIE. Lips.
1928,Familiebericht
2001,Wielrennen
1917,Advertentie
1930,BUITENLAND.
1915,FINANCIEEL BERICHT. De Koninklijke-Shell en de Standard Oil.
1912,TELEGRAMMEN. Aardschokken.
1927,Gemengd Nieuws.
1989,EUROPA CUP 3
1998,Wielrennen
2002,Wielrennen
2003,Pascual Llorente positief in Tour
1939,UIT DUITSCHLAND Insolventie van Dantzig niet onverwacht.
1968,GEWEVEN SCHILDERIJEN
1989,Steaua
1988,VOETBAL
1988,SPORTUITSLAGEN VOETBAL
1987,SPORTUITSLAGEN VOETBAL
1989,VOETBAL
1990,KWALFICATIE TOERNOOI ROTTERDAM
1986,UITSLAGEN VOETBAL
1912,PER TELEGRAAF. De zaak tegen D. van Eijk.
1916,Buitenlandsch Overzicht.
1930,Korte berichten.
1912,LAATSTE BERICHTEN. BINNENLAND.
1931,KORTE KRONIEK
1890,Laatste Berichten.
1915,In April zijn uit. Smallingerland
1989,Tweede succes voor Thomas Rongen
1989,UEFA Cup
1817,Advertentie
1923,Uit de Romeensche Petroleumnijverheid.
1927,Petroleum-industrie.
1948,"„Sjonge, da’s hard...”"
1908,Advertentie
1960,Moderne Kunst
1926,ROEMEENSCH. PETROLEUMNIJVERHEID. Aanboring van een rijke bron door de Astra Romana.—Vaste prijzen en groote uitvoer.
1923,Uit de Roemeensche petroleumindustrie.
1939,UIT DUITSCHLAND Insolventie van Dantzig niet onverwacht.
1919,Telegrafisch Weerberich
1919,Familiebericht
1931,VOORNAAMSTE NIEUWS
1989,UEFA-CUP
1989,Europa Cup II:
1909,Financieel en Economisch Nieuws
1929,VAN HIER EN DAAR.
1932,Sporen van banden
1911,Uit de petroleumindustrie.
1925,SNIPPERNIEUWS.
1931,Spookachtige gestalten.
1913,Petroleum Maatschappij Orion.
1913,Petroleum.
1921,ROEMENIë
1911,Uit de Petroleumindustrie.
1915,Financiën en Handel. De Koninklijke Shell en de Standard Oil trachten hun Roemeensche belangen uit te breiden.
1920,Uit de Koemeensche petroleumindustrie.
1913,Uit de Petroleumindustrie.
1916,"Dagelijksch Beursbericht. AMSTERDAM, 11 December."
1929,Familiebericht
1921,Uit de Roemeensche petroleumindustrie.
1927,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Groote aankoopen door de Kon.-Shell-groep. — Productie 1100 wagons per dag. — Vaste prijzen.
1927,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Productie 1927 3.650.000 ton of 13 % meer dan in 1926.
1927,ROEMEENSCHE PETROLEUM-NIJVERHEID. Streven betere voorwaarden verkoop buitenland. — Prijzen gedaald. — Uitvoer en productie eerste halfjaar toegenomen.
1926,Cijfers die spreken.
1912,Uit de Patroleum-industrite.
1916,SCHEEPSTIJDINGEN.
1927,De Roemeensche patroleum-industrie.
1929,Familiebericht
1912,BUITENLAND. TELEGRAMMEN.
1929,EEN VERONTREINIGD GRAF
1921,Economie News.
1913,Telegrammen.
1920,Orion Petroleum Co.
1913,L’exportation du pétrole roumain
1915,Financiëele berichten.
1929,BUITENLAND. DE ZINKPRODUCTIE.
1915,FINANCIEELE MEDEDEELINGEN. PETROLEUM-ONDERNEMINGEN.
1917,De Roemeensche olievelden.
1912,BUITENLAND.
1930,Het eeuwige vuur van Moreni De oliebronnen van Roemenië reeds een jaar in brand.
1929,BUITENLAND.
1912,Uit de Petroleumindustrie.
1913,"Petroleum-Mij. „Orion”, te Ploesti."
1931,WATERPOLO
1913,TELEGRAMMEN. De toestand op den Balkan.
1931,Buitenland. DE VLOOTONDERHANDELINGEN.
1912,ROEMENIE. Een braulende petroleum-bron.
1923,Geconsolideerde Hollandsche Petroleum Compagnie.
1914,TABAK
1925,Gemengde berichten.
1912,Uit de Petroleumindustrie.
1912,Uit de Petroleum-industrie.
1960,De kunstenaar op onderzoek
1912,Petroleum.
1913,Renseignements économiques et commerciaux
1917,TELEGRAMMEN.
1914,FINANCIEELE BERICHTEN.
1913,FINANCIEELE MEDEDEELINGEN. MIDDLE WEST UTILITIES COMPANY.
1912,Een bezoek aan petroleum-bronnen.
1925,COLIJN AANVAARDT DE OPDRACHT.
1914,Société Hollandaise Consolidée des Pétroles
1930,Het Eeuwige vuur van Sonde 160.
1923,Financieel-Economische Kroniek.
1909,FINANCIEELE BERICHTEN.
1913,Uit de petroleumindustrie.
1991,MODE door Anneke Scheeres Het principe Alles mag zet door in internationale mode
1925,korte BERICHTEN.
1923,Financieel-Economische Kroniek.
1913,Vereenigde Staten.
1916,Financieel en Economisch Nieuws HAAGSCHE BEURS
1911,Financieel en Economisch Nieuws
1911,Financieel en Economisch Nieuws
1916,Financieel en Economisch Nieuws
1916,Financieel en Economisch Nieuws
1913,Financieel en Economisch Nieuws NIET-OFFICIEEL GENOT. FONDSEN
1917,Financieel en Economisch Nieuws
1928,Petroleumbranden.
1917,"Financieele berichten,"
1927,Familiebericht
1970,Advertentie
1916,Buitenland. De Rumeensche petroleum-industrie.
1931,Gemengde Berichten.
1915,Uit de Petroleumindustrie.
1912,Uit de Petroleumindustrie.
1913,Uit de Petroleum-industrie.
1928,De noodlottige boorput 298 te Moreni bedwongen
1930,DE BONTE WAERELD. Het eeuwige vuur van Sonde 160.
1930,BUITENLAND. INDISCHE THEEVEILINGEN VAST.
1928,BUITENLAND. ROEMEENSCHE PETROLEUM INDUSTRIE.
1923,Financieel - Economische Kroniek.
1931,GEMENGDE BERICHTEN NEGEN INDIANEN DOODGEVROREN.
1921,BINNENLANDSCHE LEENINGEN.
1916,De inneming van Boekarest.
1989,SCOREBORD Badminton
1925,KORTE BERICHTEN.
1931,HET LAATSTE NIEUWS Wagonfabriek te Uerdingen stopgezet.
1930,COMMUNISTEN-ACTIE.
1956,Myron van de bronnen
1989,BUITENLANDS VOETBAL
1987,BUITENLANDS VOETBAL!
1930,GROOTE BRANDEN. Een dorp in de asch gelegd.
1925,KORTE BERICHTEN.
1930,"VERSPREIDE BERICHTEN. Een „Brautschau""."
